E814 .A4 1983,2.31065E+16,"Dear Bess : the letters from Harry to Bess Truman, 1910-1959 /",3.184E+13,Main Collection,None,"0e""814 a4 1983", 
E814.A4 2010,2.39656E+15,"Affection and trust : the personal correspondence of Harry S. Truman and Dean Acheson, 1953-1971 /",3.184E+13,Main Collection,None,"0e""814 a4 2010", 
E814 .B45 2008,2.31248E+16,Selling the American way : U.S. propaganda and the Cold War /,3.184E+13,Main Collection,Missing,"0e""814 b45 2008", 
E814 .B46 1997,2.31188E+16,Harry S. Truman and the founding of Israel /,3.184E+13,Main Collection,None,"0e""814 b46 1997", 
E814 .C827 1990,2.31162E+16,Truman and Israel /,3.184E+13,Main Collection,None,"0e""814 c827 1990", 
E814 .D86 1984,2.39661E+15,The Truman scandals and the politics of morality /,3.184E+13,Main Collection,None,"0e""814 d86 1984", 
E814 .F46 1994,2.3103E+16,Harry S. Truman : a life /,3.184E+13,Main Collection,None,"0e""814 f46 1994", 
E814 .F48 1984,2.3102E+16,"Truman, a centenary remembrance /",3.184E+13,Main Collection,None,"0e""814 f48 1984", 
E814 .G37 2002,2.31258E+16,Harry Truman and civil rights : moral courage and political risks /,3.184E+13,Main Collection,None,"0e""814 g37 2002", 
E814 .G52 1984,2.31123E+16,Truman in cartoon and caricature /,3.184E+13,Main Collection,None,"0e""814 g52 1984", 
E814 .G67,2.31094E+16,Truman's crises : a political biography of Harry S. Truman /,3.184E+13,Main Collection,None,"0e""814 g67", 
E814 .H28 1995,2.31148E+16,Man of the people : a life of Harry S. Truman /,3.184E+13,Main Collection,None,"0e""814 h28 1995", 
E814 .H338 1986,2.31234E+16,"Harry S. Truman, the man from Independence /",3.184E+13,Main Collection,None,"0e""814 h338 1986", 
E814 .H377,2.31142E+16,Working with Truman : a personal memoir of the White House years /,3.184E+13,Main Collection,None,"0e""814 h377", 
E814 .H86 2005,2.39803E+15,"American gunfight : the plot to kill Harry Truman, and the shoot-out that stopped it /",3.184E+13,Main Collection,None,"0e""814 h86 2005", 
E814 .J46 1986,2.39784E+15,Truman /,3.184E+13,Main Collection,None,"0e""814 j46 1986", 
E814 .M26 1992,2.31086E+16,Truman /,3.184E+13,Main Collection,None,"0e""814 m26 1992", 
E814 .M27,2.31223E+16,"Harry Truman, President",3.184E+13,Main Collection,None,"0e""814 m27", 
E814 .M38 1984,2.31197E+16,The presidency of Harry S. Truman /,3.184E+13,Main Collection,Loan,"0e""814 m38 1984", 
E814 .M54 1974,2.31112E+16,Plain speaking : an oral biography of Harry S. Truman /,3.184E+13,Main Collection,None,"0e""814 m54 1974", 
E814 .M55 1986,2.3127E+16,Truman : the rise to power /,3.184E+13,Main Collection,None,"0e""814 m55 1986", 
E814 .M58 1998,2.31071E+16,"Harry S. Truman and the news media : contentious relations, belated respect /",3.184E+13,Main Collection,None,"0e""814 m58 1998", 
E814 .P46 1989,2.31E+16,Harry S. Truman : fair dealer and cold warrior /,3.184E+13,Main Collection,None,"0e""814 p46 1989", 
E814 .R34 2009,2.31276E+16,A safe haven : Harry S. Truman and the founding of Israel /,3.184E+13,Main Collection,None,"0e""814 r34 2009", 
E814 .R6,2.31163E+16,Last of his kind : an informal portrait of Harry S. Truman /,3.184E+13,Main Collection,None,"0e""814 r6", 
E814 .S28 1997,2.3127E+16,Truman and the Democratic Party /,3.184E+13,Main Collection,None,"0e""814 s28 1997", 
E814 .T74,2.31237E+16,The autobiography of Harry S. Truman /,3.184E+13,Main Collection,None,"0e""814 t74", 
E814 .T74,2.31237E+16,The autobiography of Harry S. Truman /,3.184E+13,Main Collection,None,"0e""814 t74", 
E814 .T75,2.31172E+16,Memoirs /,3.184E+13,Main Collection,None,"0e""814 t75",v.1
E814 .T75,2.31172E+16,Memoirs /,3.184E+13,Main Collection,None,"0e""814 t75",v.2
E814 .T75,2.31172E+16,Memoirs /,3.184E+13,Main Collection,None,"0e""814 t75",v.1
E814 .T75,2.31172E+16,Memoirs /,3.184E+13,Main Collection,None,"0e""814 t75",v.2
E814 .T75,2.31172E+16,Memoirs /,3.184E+13,Main Collection,None,"0e""814 t75",v.1
E814 .T8,2.31257E+16,Harry S. Truman /,3.184E+13,Main Collection,None,"0e""814 t8", 
E814 .T8,2.31257E+16,Harry S. Truman /,3.184E+13,Main Collection,None,"0e""814 t8", 
E814 .T83,2.31265E+16,Truman and the American commitment to Israel : a thirtieth anniversary conference /,3.184E+13,Main Collection,None,"0e""814 t83", 
E814.1.T68 T68 1986,2.31122E+16,Bess W. Truman /,3.184E+13,Main Collection,None,"0e""814.1 t68 t68 1986", 
E815 .B87 2012,2.31261E+16,Truman's triumphs : the 1948 election and the making of postwar America /,3.184E+13,Main Collection,None,"0e""815 b87 2012", 
E815 .E7,2.31222E+16,The people know best : the ballots vs. the polls /,3.184E+13,Main Collection,None,"0e""815 e7", 
E815 .G64 2008,2.31247E+16,Truman's whistle-stop campaign /,3.184E+13,Main Collection,None,"0e""815 g64 2008", 
E815 .K37 2000,2.31189E+16,The last campaign : how Harry Truman won the 1948 election /,3.184E+13,Main Collection,None,"0e""815 k37 2000", 
E815 .M45,2.31099E+16,Mencken's last campaign : H.L. Mencken on the 1948 election /,3.184E+13,Main Collection,None,"0e""815 m45", 
E815 .P54 2011,2.31145E+16,1948 : Harry Truman's improbable victory and the year that transformed America's role in the world /,3.184E+13,Main Collection,None,"0e""815 p54 2011", 
E815 .R4,2.31093E+16,Inside the Democratic Party.,3.184E+13,Main Collection,None,"0e""815 r4", 
E815 .R6,2.31093E+16,The loneliest campaign; the Truman victory of 1948.,3.184E+13,Main Collection,None,"0e""815 r6", 
E815 .W34 1976,2.31062E+16,"Henry Wallace, Harry Truman, and the Cold War /",3.184E+13,Main Collection,None,"0e""815 w34 1976", 
E815 .Y37,2.31224E+16,Democrats and Progressives; the 1948 presidential election as a test of postwar liberalism.,3.184E+13,Main Collection,None,"0e""815 y37", 
E816 .B55,2.31093E+16,One-party press? : coverage of the 1952 presidential campaign in 35 daily newspapers /,3.184E+13,Main Collection,None,"0e""816 b55", 
E816 .D58,2.31217E+16,"Foreign policy and U.S. presidential elections, 1952-1960,",3.184E+13,Main Collection,None,"0e""816 d58", 
E816 .E78,2.31095E+16,Class and party in the Eisenhower years; class roles and perspectives in the 1952 and 1956 elections.,3.184E+13,Main Collection,None,"0e""816 e78", 
E816 .G74 1985,2.31162E+16,The crusade : the presidential election of 1952 /,3.184E+13,Main Collection,None,"0e""816 g74 1985", 
E816 .H3,2.31093E+16,"Is there a Republican majority? : political trends, 1952-1956 /",3.184E+13,Main Collection,None,"0e""816 h3", 
E816 .J6,2.31093E+16,How we drafted Adlai Stevenson.,3.184E+13,Main Collection,None,"0e""816 j6", 
E816 .S69,2.31093E+16,"Major campaign speeches, 1952.",3.184E+13,Main Collection,None,"0e""816 s69", 
E835 .A25,2.31092E+16,Power and diplomacy /,3.184E+13,Main Collection,None,"0e""835 a25", 
E835 .A3,2.31223E+16,Firsthand report : the story of the Eisenhower administration /,3.184E+13,Main Collection,None,"0e""835 a3", 
E835 .A645 1975,2.31113E+16,"Holding the line : the Eisenhower era, 1952-1961 /",3.184E+13,Main Collection,None,"0e""835 a645 1975", 
E835 .A645 1976,2.39909E+15,"Holding the line : the Eisenhower era, 1952-1961 /",3.184E+13,Main Collection,None,"0e""835 a645 1976", 
